metric,library_median,generated_median,median_shift_generated_minus_library,median_shift_ci_low,median_shift_ci_high,rank_biserial,favorable_direction,favorable_shift
Total_CDR_Length,16.0,16.0,0.0,0.0,1.0,-0.020264748739760585,context,
PSH_proxy,0.75,0.75,0.0,0.0,0.0,0.006779940532451123,lower,0.0
PPC_proxy,0.25,0.25,0.0,0.0,0.0,0.002794925567107809,higher,0.0
PNC_proxy,0.25,0.25,0.0,0.0,0.25,-0.06300089595148073,lower,0.0
SFvCSP_proxy,0.1,0.10818713450292397,0.008187134502923965,-0.023076923076923078,0.017647058823529405,-0.015393627914303765,lower,0.0
