model,source,pc1,pc2
finetune,posterior,-2.4134669303894043,-0.19499289989471436
finetune,posterior,-2.581472873687744,-0.19616073369979858
finetune,posterior,1.233322262763977,-0.16442924737930298
finetune,posterior,10.355158805847168,-0.1403849720954895
finetune,posterior,0.48795461654663086,-0.16436663269996643
finetune,posterior,-2.5497326850891113,-0.195744127035141
finetune,posterior,0.5542987585067749,-0.16026312112808228
finetune,posterior,-1.5444656610488892,-0.19166699051856995
finetune,posterior,-11.234670639038086,-0.23548392951488495
finetune,posterior,9.45214557647705,-0.13684137165546417
finetune,posterior,-5.5017991065979,-0.20919731259346008
finetune,posterior,-1.6230299472808838,-0.19207976758480072
finetune,posterior,-0.5361618995666504,-0.1870470643043518
finetune,posterior,5.072233200073242,-0.16642074286937714
finetune,posterior,3.0647835731506348,-0.15918928384780884
finetune,posterior,-8.802912712097168,-0.22480551898479462
finetune,posterior,1.2096245288848877,-0.18563905358314514
finetune,posterior,1.1769824028015137,-0.1859830617904663
finetune,posterior,1.4488437175750732,-0.18558469414710999
finetune,posterior,-1.6249735355377197,-0.19210673868656158
finetune,posterior,-2.489307403564453,-0.19509735703468323
finetune,posterior,-4.029446601867676,-0.20241759717464447
finetune,posterior,-7.812856197357178,-0.22030603885650635
finetune,posterior,5.7779316902160645,-0.14949087798595428
finetune,posterior,-6.170375823974609,-0.21212127804756165
finetune,posterior,-6.464235782623291,-0.2147369235754013
finetune,posterior,-13.618109703063965,-0.24596767127513885
finetune,posterior,3.140227794647217,-0.1540040820837021
finetune,posterior,4.689486503601074,-0.18377821147441864
finetune,posterior,-6.060638904571533,-0.21174749732017517
finetune,posterior,-13.911436080932617,-0.24739666283130646
finetune,posterior,-3.886898994445801,-0.2021925151348114
finetune,posterior,-2.5331034660339355,-0.1955803483724594
finetune,posterior,4.7906670570373535,-0.15998372435569763
finetune,posterior,-11.655311584472656,-0.23736421763896942
finetune,posterior,9.426911354064941,-0.1278102546930313
finetune,posterior,1.5165444612503052,-0.1774904876947403
finetune,posterior,1.5165444612503052,-0.1774904876947403
finetune,posterior,1.6779206991195679,-0.17524822056293488
finetune,posterior,15.318458557128906,-0.13514183461666107
finetune,posterior,-0.4915422797203064,-0.18681193888187408
finetune,posterior,1.4180124998092651,-0.18214134871959686
finetune,posterior,1.5476912260055542,-0.17878840863704681
finetune,posterior,4.774191379547119,-0.16004690527915955
finetune,posterior,-5.995779991149902,-0.21144165098667145
finetune,posterior,-2.6043591499328613,-0.19607484340667725
finetune,posterior,-0.36054226756095886,-0.18641048669815063
finetune,posterior,1.4882177114486694,-0.1787242889404297
finetune,posterior,-0.4630028009414673,-0.1867818832397461
finetune,posterior,-4.088883876800537,-0.20274055004119873
finetune,posterior,-12.569223403930664,-0.2415819615125656
finetune,posterior,-5.806210517883301,-0.21053335070610046
finetune,posterior,3.043370246887207,-0.15406294167041779
finetune,posterior,-0.4541183114051819,-0.186749666929245
finetune,posterior,3.073535442352295,-0.15270541608333588
finetune,posterior,-1.7712008953094482,-0.1919739544391632
finetune,posterior,9.569186210632324,-0.1407785415649414
finetune,posterior,1.266784429550171,-0.16183680295944214
finetune,posterior,4.4860968589782715,-0.1545260101556778
finetune,posterior,1.3535218238830566,-0.1813049465417862
finetune,posterior,4.880050182342529,-0.16896982491016388
finetune,posterior,10.245254516601562,-0.15124264359474182
finetune,posterior,3.0177173614501953,-0.15477685630321503
finetune,posterior,5.439587593078613,-0.1553582400083542
finetune,posterior,2.080137252807617,-0.16564016044139862
finetune,posterior,9.164080619812012,-0.13775892555713654
finetune,posterior,4.790084362030029,-0.15446990728378296
finetune,posterior,-2.0332891941070557,-0.19414140284061432
finetune,posterior,1.4172486066818237,-0.1823885440826416
finetune,posterior,10.188130378723145,-0.14049240946769714
finetune,posterior,-2.494140148162842,-0.19544045627117157
finetune,posterior,-4.204334259033203,-0.20379532873630524
finetune,posterior,1.032873272895813,-0.1683739572763443
finetune,posterior,1.4405261278152466,-0.18245595693588257
finetune,posterior,4.668638706207275,-0.1602049469947815
finetune,posterior,-2.5692391395568848,-0.19578711688518524
finetune,posterior,0.92243492603302,-0.1671040654182434
finetune,posterior,-5.7731852531433105,-0.21071000397205353
finetune,posterior,0.4800422191619873,-0.16133913397789001
finetune,posterior,-9.596699714660645,-0.22847570478916168
finetune,posterior,0.46260297298431396,-0.183329239487648
finetune,posterior,-9.744420051574707,-0.22914384305477142
finetune,posterior,4.998350620269775,-0.1537044644355774
finetune,posterior,5.750735282897949,-0.14620369672775269
finetune,posterior,3.0163393020629883,-0.15646465122699738
finetune,posterior,2.7170324325561523,-0.16107197105884552
finetune,posterior,5.023939609527588,-0.1516231745481491
finetune,posterior,3.0571179389953613,-0.15351207554340363
finetune,posterior,16.123510360717773,-0.13184130191802979
finetune,posterior,-4.280442237854004,-0.20373085141181946
finetune,posterior,-0.4945351481437683,-0.1868961900472641
finetune,posterior,-5.5070390701293945,-0.20895014703273773
finetune,posterior,2.8105883598327637,-0.1580277532339096
finetune,posterior,1.521884799003601,-0.17976249754428864
finetune,posterior,1.5379427671432495,-0.17719535529613495
finetune,posterior,1.4144833087921143,-0.18038409948349
finetune,posterior,-1.7648341655731201,-0.1892690658569336
finetune,posterior,-1.6846435070037842,-0.19245675206184387
finetune,posterior,-13.266737937927246,-0.24461455643177032
finetune,posterior,-0.4539293944835663,-0.18674899637699127
finetune,posterior,-6.662661552429199,-0.21552236378192902
finetune,posterior,1.4187750816345215,-0.15568749606609344
finetune,posterior,1.4891393184661865,-0.17908237874507904
finetune,posterior,-4.045766830444336,-0.2026101052761078
finetune,posterior,-2.5123395919799805,-0.19560225307941437
finetune,posterior,-14.217642784118652,-0.24882866442203522
finetune,posterior,5.852428436279297,-0.14742296934127808
finetune,posterior,4.954225540161133,-0.16899374127388
finetune,posterior,0.9812926054000854,-0.17202551662921906
finetune,posterior,-2.6599321365356445,-0.19602499902248383
finetune,posterior,4.938426494598389,-0.1584693193435669
finetune,posterior,16.744953155517578,-0.13003171980381012
finetune,posterior,16.744953155517578,-0.13003171980381012
finetune,posterior,2.9871268272399902,-0.15661318600177765
finetune,posterior,4.940138816833496,-0.16390855610370636
finetune,posterior,-5.6697998046875,-0.2098003625869751
finetune,posterior,1.4457781314849854,-0.1809677928686142
finetune,posterior,-3.9714198112487793,-0.2022295445203781
finetune,posterior,4.753030300140381,-0.16273845732212067
finetune,posterior,5.089971542358398,-0.16404668986797333
finetune,posterior,8.190265655517578,-0.14013242721557617
finetune,posterior,-0.44229403138160706,-0.1867067962884903
finetune,posterior,-0.44229403138160706,-0.1867067962884903
finetune,posterior,-0.44229403138160706,-0.1867067962884903
finetune,posterior,-1.418123722076416,-0.19122964143753052
finetune,posterior,1.1933655738830566,-0.19117006659507751
finetune,posterior,-3.869340419769287,-0.2019113451242447
